result,table,time,co,_field,_measurement,sensor_id,temperature,humidity
,0,2023-04-18 23:49:42+00:00,0.505268189,co,airSensors,TLM0100,71.19415754,35.07053871
,0,2023-04-18 23:49:52+00:00,0.494783725,co,airSensors,TLM0100,71.22878001,35.09815939
,0,2023-04-18 23:50:02+00:00,0.479823054,co,airSensors,TLM0100,71.23042606,35.1128954
,0,2023-04-18 23:50:12+00:00,0.492489494,co,airSensors,TLM0100,71.22000959,35.13212667
,0,2023-04-18 23:50:22+00:00,0.484314251,co,airSensors,TLM0100,71.1936618,35.11617298
,0,2023-04-18 23:50:32+00:00,0.481175282,co,airSensors,TLM0100,71.21306341,35.1628421
,0,2023-04-18 23:50:42+00:00,0.482463582,co,airSensors,TLM0100,71.18991063,35.17749654
,0,2023-04-18 23:50:52+00:00,0.463869358,co,airSensors,TLM0100,71.15124445,35.18090863
,0,2023-04-18 23:51:02+00:00,0.462136655,co,airSensors,TLM0100,71.12021393,35.23009414
,0,2023-04-18 23:51:12+00:00,0.442441142,co,airSensors,TLM0100,71.1649065,35.22621125
,0,2023-04-18 23:51:22+00:00,0.43133765,co,airSensors,TLM0100,71.17873698,35.19348309
,0,2023-04-18 23:51:32+00:00,0.422230369,co,airSensors,TLM0100,71.194596,35.15703141
,0,2023-04-18 23:51:42+00:00,0.418388614,co,airSensors,TLM0100,71.19270342,35.14347813
,0,2023-04-18 23:51:52+00:00,0.4062797,co,airSensors,TLM0100,71.19310956,35.11505556
,0,2023-04-18 23:52:02+00:00,0.414378253,co,airSensors,TLM0100,71.24162204,35.10868081
,0,2023-04-18 23:52:12+00:00,0.423458571,co,airSensors,TLM0100,71.27019267,35.07580924
,0,2023-04-18 23:52:22+00:00,0.418199773,co,airSensors,TLM0100,71.28053083,35.09159521
,0,2023-04-18 23:52:32+00:00,0.408682328,co,airSensors,TLM0100,71.31105957,35.06803892
,0,2023-04-18 23:52:42+00:00,0.395628858,co,airSensors,TLM0100,71.35521181,35.09120416
,0,2023-04-18 23:52:52+00:00,0.387945245,co,airSensors,TLM0100,71.38446641,35.053825
,0,2023-04-18 23:53:02+00:00,0.378950624,co,airSensors,TLM0100,71.35886107,35.0675638
,0,2023-04-18 23:53:12+00:00,0.38451882,co,airSensors,TLM0100,71.33931209,35.07252836
,0,2023-04-18 23:53:22+00:00,0.396155959,co,airSensors,TLM0100,71.38547074,35.08602586
,0,2023-04-18 23:53:32+00:00,0.400357366,co,airSensors,TLM0100,71.41681477,35.05825809
,0,2023-04-18 23:53:42+00:00,0.413378554,co,airSensors,TLM0100,71.414905,35.10718686
,0,2023-04-18 23:53:52+00:00,0.410937429,co,airSensors,TLM0100,71.38903979,35.15102679
,0,2023-04-18 23:54:02+00:00,0.397099047,co,airSensors,TLM0100,71.43652798,35.18647816
,0,2023-04-18 23:54:12+00:00,0.390008946,co,airSensors,TLM0100,71.41917401,35.2296865
,0,2023-04-18 23:54:22+00:00,0.373182309,co,airSensors,TLM0100,71.37955703,35.26711913
,0,2023-04-18 23:54:32+00:00,0.389073612,co,airSensors,TLM0100,71.39855856,35.24878888
,0,2023-04-18 23:54:42+00:00,0.407968359,co,airSensors,TLM0100,71.41259085,35.28867654
,0,2023-04-18 23:54:52+00:00,0.403108349,co,airSensors,TLM0100,71.37140115,35.26603045
,0,2023-04-18 23:55:02+00:00,0.410726451,co,airSensors,TLM0100,71.33179381,35.28879155
,0,2023-04-18 23:55:12+00:00,0.414083712,co,airSensors,TLM0100,71.34248313,35.24757642
,0,2023-04-18 23:55:22+00:00,0.397376525,co,airSensors,TLM0100,71.37843798,35.25058883
,0,2023-04-18 23:55:32+00:00,0.378274229,co,airSensors,TLM0100,71.36098994,35.26876066
,0,2023-04-18 23:55:42+00:00,0.387837086,co,airSensors,TLM0100,71.34657539,35.31656687
,0,2023-04-18 23:55:52+00:00,0.374020476,co,airSensors,TLM0100,71.38194672,35.27764067
,0,2023-04-18 23:56:02+00:00,0.388987475,co,airSensors,TLM0100,71.40134641,35.27890088
,0,2023-04-18 23:56:12+00:00,0.399154454,co,airSensors,TLM0100,71.43200888,35.31707736
,0,2023-04-18 23:56:22+00:00,0.386170031,co,airSensors,TLM0100,71.46232337,35.28973873
,0,2023-04-18 23:56:32+00:00,0.384799771,co,airSensors,TLM0100,71.50280255,35.30454373
,0,2023-04-18 23:56:42+00:00,0.364902655,co,airSensors,TLM0100,71.49758363,35.33438506
